locationCode,name,latitude,longitude,radius
C1008-0,CASH SALE A/C (AMRIT) - MAIN ,29.290907,47.918333,30
C1008-17,CASH SALE A/C (AMRIT) - INTL. CENTER GROUP- SHUWAIKH ,29.320709,47.928822,30
C1036,SHARIKAT AL ANHAR ,29.326876,47.929348,16
C1065,BAKALA AL AGZIYA - DALIYA CENTER ,29.259905,47.933437,7
C1066,BARAKA ZAMZAM Shop# 1(Prev MOASES AL NEHERWAN) ,29.260836,47.932743,7
C1071,BAKALA ABRAJ AL JALEEB ,29.256067,47.924721,7
C1101,MARKAZ SURBHI FOODSTUFF- FRUITS & VEG. ,29.078213,48.133713,7
C1102-0,INTERNATIONAL CONSUMER COMPANY - MAIN ,29.289296,48.066413,30
C1102-1,INTERNATIONAL CONSUMER COMPANY - FOOD CIRCLE- MISHREF ,29.289249,48.066424,30
